Comment,Category 1,Category 2,Category 3
"This is an unfortunate film. One of its biggest problems is its lack of direction. Many of Schroeder's ideas are only half developed, and this lack of decisiveness shows. In a Q&A after the screening, Schroeder said that he did not want his film to be full of ""Hollywood"" clichés; unfortunately this is exactly what happens. As previously mentioned by my fellow critics, the hand-crank technique is used incorrectly and lends the film a music video tone. Add several non sequitur contrivances (e.g. the whole dog pound sequence(s) with its obvious use of stock footage, the way that Cameron receives funding for his film, the sabotage vignette, etc.) and you have a film that is chock full of holes. It also has a problem finding a true voice, which is something a film of this nature hinges on. It never sticks to one subject for long, and when it veers off in another direction, it fails to solidify into anything worthwhile. The one good thing it has going for it is Christopher Plummer. His performance is admirable in the way that he carefully delivers fairly pedantic dialogue. Although many characters were one-dimensional, the cast members did an adequate job. In brief, this is a forgettable film that will wow many people with its ""heart."" However, if you look more closely, you will see that it is shallow and mediocre at best.",Directional Techniques,Visual Effect,
"Sometimes something sounds good, but the bare truth of it all leaks out when you have a crappy director leading the helm. Once again, Sam Raimi proved he is about as incompetent as most PR-video directors, displaying a real lack of vision and insight. Sure, the concept was good, the idea seemed to be there, but it was simply executed with such campiness that the coolness of the film could never overcome the crap. Sometimes having a known director doesn't always work, and in regards to Sam Raimi, it rarely does.",Directional Techniques,,
"A complete cult film in Spain.<br /><br />I think Alex is one of the most original talents in nowadays cinema. And not only in Spain, all over the world.<br /><br />You have to realize what it means to issue such a film, and what a danger you take. How he uses black humour and keeps tension on every scene is incredible. And he has shown that in every one of his films, specially in The perfect crime (a pearl of how to use black humour), 800 bullets and Common Wealth. These are films to take with an open mind, no previous thoughts of what are you going to find. I'm still surprised at each one of his new films.<br /><br />A masterpiece, but not a film for everybody.",Directional Techniques,,
"Some thoughts (for whatever they are worth)- <br /><br /> - The Beach has several Trainspotting-like moments of inspired glee mixed within the overall darker elements of the story (Richard's dark dementia broken up with a little goofy video game bit, for example). It just doesn't seem to work as smoothly and perfectly as Trainspotting, altho The Beach isn't *that* bad a flick.<br /><br /> - One thing another poster mentions is the Beautiful People mold that the Beach inhabitants seem to have been mass produced from. While there is a false sense of glamour and youth in the casting of thin/young/beautiful people, maybe that lends itself as a stark contrast to the very dire circumstances and consequences of their actions. These people are attractive and young and hip, yet they are proven to be ultimately silly and frivolous when faced with the reality of their actions. Well, maybe not - but it makes me feel better to think that, either way ;).<br /><br />",Directional Techniques,,
"I saw that film when i studied films in england, i liked the director's techniques with his subjects.First of all he provokes them in order to get more informations from them, second he manages to become intimate to the viewer with his monologues that take the form of a confession.Many commented that his life is pathetic, maybe so, but it takes courage to expose to the public some very 'personal' moments.Many people might comment about the ethics of documentary, because sometimes he seems to abuse some of his subjects, or even mock them,i have a specific scene in my mind:When he interviews one of the so called patriots,inside a snack bar he pans his camera and while we listen to the 'patriotic credo' we watch another man dressed like a clown.I think this is a film that deserves to be seen because it is a prerequisite for people who enjoy BIG BROTHER and other similar assortments, that victimize their subjects sometimes to the extreme.Compared to those SHERMAN'S MARCH is very innocent much more entertaining though.8/10",Directional Techniques,,
"It is not often that I watch a Bollywood movie in whole, simply because they are usually so embarrassing to watch even alone! I just watch them for music and for the, so far unmatched, choreography! But this film just captured my imagination and kept me arrested till the end. The only other Hindi films that I can speak of with similar admiration are 'Mumbai Se Aaya Mera Dost' - My Friend from Mumbai, a widely misunderstood and undervalued Indian gem, the Raj Kapoor classic, 'Jis Desh Mein Ganga Behthi Hai' - The Man from the Ganges Confluence - and recent work by maverick and pioneering art house directors of the modern India like Nagesh Kukunoor - 'Iqbal' 2005, Madhur Bhandarkar - 'Page 3' - and Rakesh Omprakash Mehra - 'Rang De Basanti' - The Colour of Sacrifice - 2006.<br /><br />Experimental in almost all departments, but handled by the whole crew and the cast, including the first time director Shaad Ali, with great virtuosity and panache, this is a film that everyone should see, if not for anything but just for the sheer, unforgettable experience of the breathtaking cinematography, the brilliant location selection, masterly costume, art and set design, and above all, the painstakingly executed, digital editing and subtle video effects that puts Hollywood studios to shame. If you are now encouraged to see this movie, watch for the way the camera meaningfully mimics and follows the act as if the viewer is there and sharing the experience of the scene. This filming and editing effect is so subtly handled by both the highly experienced cinematographer and the editor so that the viewer's eyes move with the camera so effortlessly, and after a short while, get accustomed to it. The effect is most prevalent though with songs and choreography, which highlights the composer, A. R. Rahman's quite apparent contribution to the success of this film.<br /><br />The highly acclaimed and surprisingly very young composer A. R. Rahman, easily the Alberto Iglesias of India, has single-handedly pioneered a new kind of world music, mixing the diverse traditional and folk music of India with both western and eastern classical and popular music. The result is a unique and continuously evolving sound that has reverberated around the world to such an extent that it has influenced a wide range of musicians around the world. 'Saathiya' is an excellent example of how his music influences the look, texture and feel of a film, very similar to that of masters like John Williams, Tan Dun and, in particular to the much cherished collaborations between Zbigniew Preisner and the late master Krzysztof Kieslowski. It is hard to get the 9 songs of this film out of your head once you watched the movie, not just because A. R. Rahman is a genius, but because the collaboration between him and the rest of the crew and cast has been just perfect.<br /><br />As an added bonus, the film is much shorter than the usual Bollywood formulaic crap, and, because it has the ability to capture the viewer's attention and hold it to the end, the time just flies while you are having fun. It also is a light-hearted attempt to examine the lives and loves of the youth of the modern and very westernised India, and doesn't bother the viewer too much with too serious and pretentious issues of life and the universe! Watch it and you wouldn't regret it, except for the last scene! Once you have seen 'Saathiya', you should see the original Tamil film , 'AlaiPayuthey' (2000) by writer director Mani Ratnam, a highly creative director to watch for. This is so much admired by Tamil speaking people around the world that it has been posted so many times as low resolution videos on both YouTube and GoogleVideo, so that you can watch it free in full as well as in parts. Despite the origin, the two films are different in atmosphere: Tamil one is quite rural looking while, the Hindi one is quite modern and urban in setting. They are both equally stupendous cinematic creations on their own right despite the differences.<br /><br />BrownPolar Edinburgh April 2008",Directional Techniques,Music,Visual Effect
"Hint to all young producers and directors: just because someone is named ice something does not mean he can carry a movie alone or even act. I don't mind Ice Cube, he is just limited and the angry black guy routine can only carry you so far. This a movie that Fred Olen Ray might have even passed on making, hell maybe even Jim Wynorski. If you must watch this movie, then you might not want to invite any new people over just in case of the whole first impression thing. Overall I would suggest that you would be more entertained by playing charades alone.Jump down. Turn around. Eat a bowl of arsenic.Seriously, I think ice might want to be a little more picky, if possible.",Directional Techniques,,
"First caught this back in 2003, own the DVD now and still impressed by this indie flick. This film has a Mean Streets look and feel to it, and the actors, with the exception of a few weak links, are impressive. Noonan's performance is once to remember, as is Ahmed's directorial debut. The soundtrack, instrumental rock with an edge, is memorable and fits into the desolate scenery of the movie. <br /><br />While the plot is, for the most part, fresh, a few of the main characters (such as the the Hasidic Jew and the Irish mobster) present more engaging character studies than others (the yuppie professionals).<br /><br />Overall, well worth watching for anyone who loves early Keitel, early Scorsese NYC-style films and the witty and interesting dialog of a Whit Stillman.",Directional Techniques,Performance,Music
"I came away from Dead Man's Shoes with a sense of pride; a sense of acknowledgment; a feeling that British film at its lowest budget level and at its grittiest and simplest is very much alive and active. The reaction I had also affected the way I perceive Hollywood a little bit more; it's true that films like Zodiac, Blood Diamond and Apocalypto occupy my top three of 2007 but even some of them and the many others on that list do not match the fondness and recognition that I had for Dead Man's Shoes upon seeing it  the great thing is, this was extensively levelled down in terms of funding but pumped up in terms of quality. Make no mistake, Dead Man's Shoes is very good.<br /><br />I suppose in order to identify this film, I'd have to borrow from America somewhat but that is no shame; this film is 1988's Rain Man meets a hard as nails, gritty revenge film  perhaps something staring James Cagney in his pomp. But it is a revenge film with an air of indifference; the film is often funny, often touching and often heart-warming in its portrayal of inept small time crooks, its nasty flashbacks of bullying and its small inclusion of scenes in which someone with special needs is present and displaying his innocence. While I have only seen the rather underwhelming Once Upon a Time in the Midlands from director Shane Meadows, this isn't so much as a jolt back in the right direction as it is a full blown shove back onto the correct tracks. Meadows directs and unfolds his story in a brilliant manner but in a manner that utilises so many techniques that we the audience flip from happy to sad to anger to disgust and in such a way that we have time to appreciate what we're seeing; feeling and what we think of it all.<br /><br />Paddy Considine plays Richard, a soldier fresh back from, what I can only assume to be, the horrors of Iraq and the Iraq war going on. But where road side bombs and ambushes have been erased, Richard is psychologically stuck with constant explosions going off in his mind  anger, rage, sadness and that lust for revenge when he learns his younger, more simple brother has suffered torment and bullying at the hands of the local drug dealers and young adults who have not matured enough to shake off that 'chav' mentality. Needless to say, he brings home the horrors of Iraq with him in all their bloody infamy in what could be one of the best post-war syndrome studies since Travis Bickle in Taxi Driver. The film poster of said film on someone's flat wall perhaps hints at this.<br /><br />But apart from the horror and the tragedy, which does grab you thanks to some flashbacks that I eventually came to fear popping up, everything is revealed in a satisfying and balanced way. Initially, the users of the boy call him over and tap him on the back and invite him in and everything seems very harmless; we even think he is close enough to these people to go out and get some groceries for them if nothing else is on. But whatever we thought is quickly presented to us over and over in a, frankly, quite brilliant piece of directing and pacing as we realise these people are not what they are cracked up to be. Further utilisation of the kid follows; then it gets more serious when drugs and women come into play. Meadows also gets across the element of humour early on in his film; indeed, when you see Herbie (Wolfenden) trundle down the road in his Citroen 2CV with the other guys in the back, you cannot help but smirk at how real this all feels; at how these people are presented as people who live, breath, hang around in apartments and drive obscure cars.<br /><br />But then again, you get the feeling of disturbance. We are not aware of the true extent of things until much later but looking back at the events in the opening hour, the leisurely way in which the gang hang around and talk about nothing in particular considering what they have done is shocking. Meadows also gets across his feeling of foreboding and the sense its all building up to something. Richard's initial work that he carries out on the gang all feels as if it builds up to the big showdown with the final gang member; the one member we will feel a juxtaposition toward since he has a wife and two children. Onto the wrongdoers in question; initially, Herbie is introduced but then we get two of his lackey accomplices living in an apartment; onto a further pair of heavies that come over and finally, Sonny (Stretch) who is the chief antagonist in the bullying of the brother  to him, it goes beyond a joke; it turns into an actual hatred, a hatred of those with special needs with elements of fascism towards those who are not 'normal' starting to creep into the film and its character's psyche.<br /><br />So this is Meadows introducing to us the villains in stages; the targets Richard must deal with if he is to get his revenge  we are systematically told what Richard is up against but there is also that nice little touch of Richard showing up now and again with scare tactics. But with a hero on a mission and a twist that packs a punch Dead Man's Shoes is a big success. When he confronts the family man at the end, Richard himself says that he ""is now the monster"" which tells us that we do not have to root for him any more if we don't want to as he is confronting an apparent innocent but the film is brilliant in its build up, its finale and its attention to detail - great stuff.",Directional Techniques,Plot,
"This is standard movie fare done extremely bad. Big rattlesnakes kill people, and the people who know how dangerous the snakes are can't get anyone to listen. The writers and director try to use every cliché to further their careers. The pity is that this usually works. We're also inundated with the all American look of every man having dark hair and every woman having blonde hair, a neo-Nazi trend used to glorify the Hitler Nazi machine by many movie makers. Again, there are so many rich neo-Nazis who insist upon this being ""classic"", that directors and writers who use this technique go rewarded with bigger and bigger budgets. And don't be fooled. This is a big budget movie. This is expensive work. Don't ever let someone tell you some of these movies are low budget, because they aren't. You couldn't get this much capital to make a movie, unless you are rich yourself. There just isn't anything good about this movie.",Directional Techniques,Others,
